date,temp,rh,pressure,rs,wind,t_p ,Hr_p,pa_p ,rs_p ,wind_p 
24-10-2021,19,39.9,963,29.6,11.3,100,100,100,100,100
25-10-2021,21.5,36.8,960,29.9,12.3,100,100,100,100,100
26-10-2021,20.3,47.7,960,27.5,16.4,100,100,100,100,100
27-10-2021,18.8,57.8,962,28.7,12.3,100,100,100,100,100
28-10-2021,21.5,48.8,961,29.2,12.8,100,100,100,100,100
29-10-2021,21.5,38.7,960,29.3,14.2,100,100,100,100,100
30-10-2021,22.5,38.6,957,29.4,14.7,100,100,100,100,100
31-10-2021,18.6,54.4,959,22.1,16.3,100,100,100,100,100
01-11-2021,16.1,68.7,961,22.1,14.9,100,100,100,100,100
02-11-2021,19.2,59.4,960,29.6,14.4,100,100,100,100,100
03-11-2021,15.8,57.4,961,25.6,19.7,100,100,100,100,100
04-11-2021,16,61.1,962,21,14.5,100,100,100,100,100
05-11-2021,17.3,43.9,960,30.6,13.9,100,100,100,100,100
06-11-2021,16.4,52.8,963,31.4,16.2,100,100,100,100,100
07-11-2021,18,51.1,961,31.2,14,100,100,100,100,100
08-11-2021,20.4,45.4,959,31.2,13.1,100,100,100,100,100
09-11-2021,18,59.8,960,30.6,18.9,100,100,100,100,100
10-11-2021,17,67.6,961,28.2,15.3,100,100,100,100,100
11-11-2021,18.3,58.6,961,30.7,16.4,100,100,100,100,100
12-11-2021,18,60.4,961,30.3,17.4,100,100,100,100,100
13-11-2021,17.2,51.4,963,29.2,15.9,100,100,100,100,100
14-11-2021,18.6,41.9,959,32.6,14.7,100,100,100,100,100
15-11-2021,18,44.8,961,32,16.7,100,100,100,100,100
16-11-2021,19.8,42.4,959,31.9,14.6,100,100,100,100,100
17-11-2021,19.8,37,959,32.7,14.7,100,100,100,100,100
18-11-2021,20,43.3,959,31.8,15.1,100,100,100,100,100
19-11-2021,19.6,54.2,959,32,18,100,100,100,100,100
20-11-2021,19.6,60.2,960,32.2,15.8,100,100,100,100,100
21-11-2021,21.6,48.2,958,32.4,15.5,100,100,100,100,100
22-11-2021,23.2,41.8,956,32.5,14.9,100,100,100,100,100
23-11-2021,20.2,55.4,957,32.1,16.8,100,100,100,100,100
24-11-2021,18,63.9,962,22.5,15.3,100,100,100,100,100
25-11-2021,20.8,49.4,960,32.7,13.3,100,100,100,100,100
26-11-2021,20.1,56.9,958,31.5,17.8,100,100,100,100,100
27-11-2021,17.5,63.2,962,28,18.2,100,100,100,100,100
28-11-2021,19.6,44.2,960,32.8,12.6,100,100,100,100,100
29-11-2021,20.6,37.2,958,32.3,15.3,100,100,100,100,100
30-11-2021,17.3,53.4,959,32.6,16.7,100,100,100,100,100
01-12-2021,17.6,57.9,960,32.9,15.6,100,100,100,100,100
02-12-2021,18.8,52.8,959,30.7,15.8,100,100,100,100,100
03-12-2021,19.4,53.3,960,33,16.1,100,100,100,100,100
04-12-2021,21.8,38.7,958,33.6,12.3,100,100,100,100,100
05-12-2021,23.7,37,957,33.9,15,100,100,100,100,100
06-12-2021,20.5,58.6,957,32.8,4.3,100,100,100,100,100
07-12-2021,19.4,59.5,960,32.3,3.3,100,100,100,100,100
08-12-2021,20.2,52.6,958,33.7,16,100,100,100,100,100
09-12-2021,21.3,48.7,955,33.2,15.4,100,100,100,100,100
10-12-2021,18.2,64.4,957,32.8,18.8,100,100,100,100,100
11-12-2021,17,73.4,960,22,15.7,100,100,100,100,100
12-12-2021,18.2,56.7,959,28.8,16.4,100,100,100,100,100
13-12-2021,18.2,49.8,960,33.4,14.9,100,100,100,100,100
