date,cod_wc
2021-10-27,0.5775
2021-10-28,1.0
2021-10-29,0.995
2021-10-30,0.725
2021-10-31,0.515
2021-11-01,0.3425
2021-11-02,0.83
2021-11-03,0.8175
2021-11-04,0.55
2021-11-05,0.87
2021-11-06,0.9125
2021-11-07,0.94
2021-11-08,0.965
2021-11-09,0.735
2021-11-10,0.5375
2021-11-11,0.7675
2021-11-12,0.945
2021-11-13,0.6375
2021-11-14,0.975
2021-11-15,1.0
2021-11-16,1.0
2021-11-17,0.7875
2021-11-18,0.9275
2021-11-19,0.5475
2021-11-20,0.6
2021-11-21,0.52
2021-11-22,1.0
2021-11-23,0.605
2021-11-24,0.38749999999999996
2021-11-25,0.8475
2021-11-26,0.62
2021-11-27,0.605
2021-11-28,1.0
2021-11-29,0.9075
2021-11-30,0.81
2021-12-01,0.87
2021-12-02,0.8375
2021-12-03,0.9725
2021-12-04,0.98
2021-12-05,0.74
2021-12-06,0.7324999999999999
2021-12-07,0.795
2021-12-08,0.6
2021-12-09,0.83
2021-12-10,0.91
2021-12-11,0.3175
2021-12-12,0.6950000000000001
2021-12-13,0.9725
2021-12-14,1.0
2021-12-15,0.94
2021-12-16,0.8075
2021-12-17,0.9975
2021-12-18,0.8625
2021-12-19,0.6025
2021-12-20,0.54
2021-12-21,0.6725
2021-12-22,0.8225
2021-12-23,0.8525
2021-12-24,0.94
2021-12-25,0.6975
2021-12-26,0.6875
2021-12-27,0.6775
2021-12-28,0.63
2021-12-29,0.37
2021-12-30,0.81
2021-12-31,0.995
2022-01-01,1.0
2022-01-02,0.995
2022-01-03,0.97
2022-01-04,0.9775
2022-01-05,0.7050000000000001
2022-01-06,0.72
2022-01-07,0.56
2022-01-08,0.75
2022-01-09,0.4175
2022-01-10,0.56
2022-01-11,0.7150000000000001
2022-01-12,0.69
2022-01-13,0.9025
2022-01-14,0.9075
2022-01-15,0.72
2022-01-16,0.52
2022-01-17,0.5575
2022-01-18,1.0
2022-01-19,1.0
2022-01-20,0.85
2022-01-21,0.9975
2022-01-22,1.0
2022-01-23,1.0
2022-01-24,1.0
2022-01-25,0.605
2022-01-26,0.9075
2022-01-27,0.7825
2022-01-28,0.7775
2022-01-29,0.965
2022-01-30,0.9225
2022-01-31,1.0
2022-02-01,0.6725
2022-02-02,1.0
2022-02-03,0.47750000000000004
2022-02-04,0.81
2022-02-05,0.9925
2022-02-06,0.84
2022-02-07,0.81
2022-02-08,0.8025
2022-02-09,0.6425000000000001
2022-02-10,0.31499999999999995
2022-02-11,0.5725
2022-02-12,0.9475
2022-02-13,0.7475
2022-02-14,0.96
2022-02-15,0.6475
2022-02-16,0.9625
2022-02-17,0.9775
2022-02-18,0.9825
2022-02-19,0.9925
2022-02-20,0.9725
2022-02-21,0.88
2022-02-22,0.9575
2022-02-23,0.4625
2022-02-24,1.0
2022-02-25,1.0
2022-02-26,0.9925
2022-02-27,1.0
2022-02-28,1.0
2022-03-01,1.0
2022-03-02,0.665
2022-03-03,0.5
2022-03-04,0.8125
2022-03-05,0.8025
2022-03-06,0.7
2022-03-07,0.9925
2022-03-08,0.99
2022-03-09,0.9975
2022-03-10,1.0
2022-03-11,0.5525
2022-03-12,0.775
2022-03-13,0.5549999999999999
2022-03-14,0.6174999999999999
2022-03-15,0.69
2022-03-16,0.575
2022-03-17,0.39
2022-03-18,0.775
2022-03-19,0.42500000000000004
2022-03-20,0.71
2022-03-21,0.84
2022-03-22,0.9875
2022-03-23,0.985
2022-03-24,1.0
2022-03-25,0.9975
2022-03-26,0.6925
2022-03-27,0.42000000000000004
2022-03-28,0.9975
2022-03-29,1.0
2022-03-30,1.0
2022-03-31,1.0
2022-04-01,0.995
2022-04-02,0.7
2022-04-03,0.78
2022-04-04,1.0
2022-04-05,0.99
2022-04-06,0.6950000000000001
2022-04-07,0.76
2022-04-08,0.49250000000000005
2022-04-09,0.8
2022-04-10,0.99
2022-04-11,0.99
2022-04-12,0.6225
2022-04-13,1.0
2022-04-14,0.8200000000000001
2022-04-15,0.4625
2022-04-16,0.22250000000000003
2022-04-17,0.5974999999999999
2022-04-18,0.7675
2022-04-19,0.21499999999999997
2022-04-20,0.9375
2022-04-21,0.135
2022-04-22,0.23750000000000004
2022-04-23,0.7625
2022-04-24,0.6725
2022-04-25,0.42000000000000004
2022-04-26,0.24750000000000005
2022-04-27,0.5974999999999999
2022-04-28,0.76
2022-04-29,0.85
2022-04-30,0.8525
2022-05-01,0.8375
2022-05-02,0.9925
2022-05-03,0.9175
2022-05-04,0.245
2022-05-05,0.45499999999999996
2022-05-06,0.6275
2022-05-07,0.38
2022-05-08,0.09750000000000003
2022-05-09,0.72
2022-05-10,0.2025
