date,rhmin,rhmax,rhmin_p,rhmax_p
04-10-2021,20.5,71.4,100,100
05-10-2021,27.8,77.4,100,100
06-10-2021,17,66.2,100,100
07-10-2021,29.7,74.7,100,100
08-10-2021,47.8,96,100,100
09-10-2021,34,89.6,100,100
10-10-2021,36.8,78.3,100,100
11-10-2021,18.4,85,100,100
12-10-2021,43.7,85.6,100,100
13-10-2021,37.5,80.4,100,100
14-10-2021,42.4,88,100,100
15-10-2021,21.4,82.5,100,100
16-10-2021,23.3,74.4,100,100
17-10-2021,17.4,75.1,100,100
18-10-2021,8.7,67,100,100
19-10-2021,16.5,88,100,100
20-10-2021,58.8,90.2,100,100
21-10-2021,32.9,88,100,100
22-10-2021,41,83.3,100,100
23-10-2021,22.6,76.8,100,100
24-10-2021,13.6,66.2,100,100
25-10-2021,16.2,57.3,100,100
26-10-2021,28.9,66.4,100,100
27-10-2021,34.7,80.8,100,100
28-10-2021,20.8,76.9,100,100
29-10-2021,20.4,57,100,100
30-10-2021,14.7,62.4,100,100
31-10-2021,29.6,79.1,100,100
01-11-2021,39.5,97.9,100,100
02-11-2021,24.1,94.7,100,100
03-11-2021,29.6,85.2,100,100
04-11-2021,33.3,88.9,100,100
05-11-2021,24,63.8,100,100
06-11-2021,22.1,83.6,100,100
07-11-2021,19.2,83,100,100
08-11-2021,18.5,72.3,100,100
09-11-2021,36.6,83,100,100
10-11-2021,40.1,95,100,100
11-11-2021,38.5,78.8,100,100
12-11-2021,37.6,83.2,100,100
13-11-2021,32.4,70.3,100,100
14-11-2021,16.4,67.4,100,100
15-11-2021,22.5,67.2,100,100
16-11-2021,22.8,61.9,100,100
17-11-2021,19.9,54.2,100,100
18-11-2021,18.6,68,100,100
19-11-2021,29.9,78.5,100,100
20-11-2021,24.4,96,100,100
21-11-2021,20.3,76.1,100,100
22-11-2021,16.7,67,100,100
23-11-2021,36.2,74.7,100,100
24-11-2021,39.8,88,100,100
25-11-2021,16.2,82.7,100,100
26-11-2021,33,80.8,100,100
27-11-2021,36,90.5,100,100
28-11-2021,19.3,69.1,100,100
29-11-2021,19.8,54.6,100,100
30-11-2021,30.1,76.7,100,100
01-12-2021,27.6,88.2,100,100
02-12-2021,29.9,75.6,100,100
03-12-2021,30.9,75.7,100,100
04-12-2021,20,57.4,100,100
05-12-2021,18.1,55.9,100,100
06-12-2021,35.5,81.8,100,100
07-12-2021,30.8,88.2,100,100
08-12-2021,26,79.2,100,100
09-12-2021,28.6,68.7,100,100
10-12-2021,47.4,81.5,100,100
11-12-2021,51.8,94.9,100,100
12-12-2021,36.2,77.2,100,100
13-12-2021,31,68.6,100,100
14-12-2021,25.4,67.6,100,100
15-12-2021,21,62.8,100,100
16-12-2021,29.7,73.8,100,100
17-12-2021,25.6,85.4,96,96
18-12-2021,24.3,65,100,100
19-12-2021,18.1,70,100,100
20-12-2021,18.2,67.8,100,100
21-12-2021,19.9,73.2,100,100
22-12-2021,28.7,72.5,100,100
23-12-2021,38.3,92.1,100,100
24-12-2021,18.9,74.8,100,100
25-12-2021,21.9,63.2,100,100
26-12-2021,21.4,62,100,100
27-12-2021,29.3,73.9,100,100
28-12-2021,37.2,77.9,100,100
29-12-2021,51.7,89.6,100,100
30-12-2021,27,69.5,100,100
31-12-2021,18,64,100,100
01-01-2022,20.3,61.1,100,100
02-01-2022,21.4,70.4,100,100
03-01-2022,23.2,65.4,100,100
04-01-2022,26.4,72.3,100,100
05-01-2022,30.4,66.4,100,100
06-01-2022,33.3,78.2,100,100
07-01-2022,24.2,72.1,100,100
08-01-2022,37,75.5,100,100
09-01-2022,36.2,86.2,100,100
10-01-2022,29.8,74.6,100,100
11-01-2022,33.7,67.9,100,100
12-01-2022,36.4,81.9,100,100
13-01-2022,40.4,89.3,100,100
14-01-2022,29.4,70.9,100,100
15-01-2022,37.1,80.4,100,100
16-01-2022,52.5,88.8,100,100
17-01-2022,32.1,75.5,100,100
18-01-2022,24.2,49.8,100,100
19-01-2022,20.3,48.7,100,100
20-01-2022,18.4,52.6,100,100
21-01-2022,18.9,53.5,100,100
22-01-2022,18.4,69.6,100,100
23-01-2022,19.5,67.9,100,100
24-01-2022,15.3,55.5,100,100
25-01-2022,25.4,68,100,100
26-01-2022,32.4,86.1,100,100
27-01-2022,38.7,84.1,100,100
28-01-2022,40.3,92.6,100,100
29-01-2022,43.1,84.9,100,100
30-01-2022,29.8,84.8,100,100
31-01-2022,28.4,72,100,100
01-02-2022,31.7,60.3,100,100
02-02-2022,33.7,70,100,100
03-02-2022,37.2,79.5,100,100
04-02-2022,32.1,86.3,100,100
05-02-2022,27.4,81,100,100
06-02-2022,22.7,63,100,100
07-02-2022,24.8,72.8,100,100
08-02-2022,24.5,84.1,100,100
09-02-2022,25.8,76.5,100,100
10-02-2022,49,94.6,100,100
11-02-2022,34.8,76.4,100,100
12-02-2022,18.3,56.4,100,100
13-02-2022,30.6,71.7,100,100
14-02-2022,34,87.5,100,100
15-02-2022,39.6,95.6,100,100
16-02-2022,22,85.3,100,100
17-02-2022,18.8,72.9,100,100
18-02-2022,18.4,61,100,100
19-02-2022,13.8,65.7,100,100
20-02-2022,27.9,66.3,100,100
21-02-2022,32.9,77.3,100,100
22-02-2022,32.9,83.1,100,100
23-02-2022,28,76.1,100,100
24-02-2022,28,93.4,100,100
25-02-2022,23.6,68.8,100,100
26-02-2022,19.8,68.7,100,100
27-02-2022,26.7,66.8,100,100
28-02-2022,18.7,59,100,100
01-03-2022,14.4,55.3,100,100
02-03-2022,21.4,56.5,100,100
03-03-2022,29.6,74.7,100,100
04-03-2022,31.6,75.8,100,100
05-03-2022,26.2,60.9,100,100
06-03-2022,27.9,51.1,100,100
07-03-2022,13.9,65.9,100,100
08-03-2022,27.2,66.8,100,100
09-03-2022,23.2,71.6,100,100
10-03-2022,18.6,71.7,100,100
11-03-2022,23,59.1,100,100
12-03-2022,31,84.6,100,100
13-03-2022,17.7,83.9,100,100
14-03-2022,24.8,76.2,100,100
15-03-2022,34.3,81,100,100
16-03-2022,48.7,99.9,100,100
17-03-2022,52.4,90.5,100,100
18-03-2022,26.5,87.9,100,100
19-03-2022,20.7,55.2,100,100
20-03-2022,21.4,51.4,100,100
21-03-2022,22.6,72.6,100,100
22-03-2022,23.8,78.3,100,100
23-03-2022,37.1,86.4,100,100
24-03-2022,15.2,78.5,100,100
25-03-2022,14.2,58.4,100,100
26-03-2022,39.4,79.4,100,100
27-03-2022,24.5,86.4,100,100
28-03-2022,24.6,66.1,100,100
29-03-2022,24.8,71.3,100,100
30-03-2022,9.8,61.4,100,100
31-03-2022,8.4,48.3,100,100
01-04-2022,11.8,49.8,100,100
02-04-2022,18.6,65.5,100,100
03-04-2022,31.4,91,100,100
04-04-2022,21.4,73.7,100,100
05-04-2022,16.2,67.8,100,100
06-04-2022,18.7,67.6,100,100
07-04-2022,17.8,69.1,100,100
08-04-2022,23.7,67.8,100,100
09-04-2022,32.4,99.2,100,100
10-04-2022,41.3,82.2,100,100
11-04-2022,36.4,80.5,100,100
12-04-2022,27.5,63.3,100,100
13-04-2022,10.9,64,100,100
14-04-2022,27.1,86.2,100,100
15-04-2022,63,91.7,100,100
16-04-2022,32,97.3,100,100
17-04-2022,32.6,86.2,100,100
18-04-2022,25.2,92.6,96,96
19-04-2022,36.4,79,100,100
20-04-2022,30.2,87.7,100,100
21-04-2022,50.2,84.5,100,100
22-04-2022,37.9,82,100,100
23-04-2022,31.4,86.6,100,100
24-04-2022,44.6,83.6,100,100
25-04-2022,39.6,86.6,100,100
26-04-2022,39.5,95.8,100,100
27-04-2022,70.3,95.3,100,100
28-04-2022,49.1,100,100,100
29-04-2022,27.8,98.4,100,100
30-04-2022,29.7,91.1,100,100
