date,rhmin,rhmax,tmin,tmax,temp,wind,rs,rh,pressure,et0,ra,et0_pmfao56,et0_hs,et0_fao24,et0_hamon
2021-02-14,44.4,100.0,13.0,25.1,19.0,15.0,25.9,72.2,958.0,5.3,39.40318992905659,5.359033726684547,4.7233097499177585,4.8591879038415025,3.9775988391388295
2021-02-15,49.0,97.6,12.8,23.6,18.2,16.1,25.7,73.3,960.0,4.9,39.224300922899964,5.013480298975376,4.342204597675916,4.748676685256502,3.7657898870276396
2021-02-16,63.4,95.3,12.5,19.7,16.1,13.9,16.3,79.4,962.0,3.1,39.04253577691832,3.1579184892006045,3.3164199661475755,2.572197046175852,3.286870822828568
2021-02-17,38.8,84.2,13.2,25.9,19.5,15.1,26.9,61.5,961.0,6.1,38.8579299412408,6.089209120951391,4.839201214139585,5.500921740984405,4.045537999987545
2021-02-18,37.4,80.8,11.3,26.3,18.8,14.0,28.7,59.1,962.0,6.3,38.67052048698532,6.274012855088383,5.132131637529573,5.835895769129782,3.853548513718192
2021-02-19,31.3,79.6,12.2,28.9,20.5,12.1,28.9,55.4,961.0,6.8,38.4803461281734,6.778731610351527,5.648032408042774,6.094293179077165,4.264507574921484
2021-02-20,25.5,81.0,13.0,29.7,21.4,11.5,29.1,53.2,960.0,7.1,38.287447241466715,7.032547749833366,5.756762925206676,6.279837197837366,4.488921831449918
2021-02-21,30.1,73.3,13.3,28.7,21.0,12.5,28.9,51.7,960.0,7.0,38.09186588363036,6.931682240503523,5.44170031641168,6.301297106701309,4.356212492462237
2021-02-22,20.0,74.7,11.6,29.4,20.5,12.8,29.0,47.4,960.0,7.5,37.89364580663381,7.45126649393578,5.742174248368627,6.4265791031691855,4.200901318284978
2021-02-23,17.2,70.8,13.4,32.0,22.7,11.0,28.9,44.0,957.0,7.9,37.69283247030561,7.717393724902978,6.187172285436384,6.64895251147799,4.795614950803342
2021-02-24,27.1,70.2,13.3,28.8,21.0,11.6,28.5,48.7,956.0,6.9,37.489473052464255,6.878701302143682,5.373004433783723,6.261747411100693,4.290110816271115
2021-02-25,38.9,85.9,13.5,28.3,20.9,13.7,27.9,62.4,956.0,6.4,37.28361645645403,6.364341867783489,5.207488469514691,5.7653042440678535,4.24135151912036
2021-02-26,35.3,88.2,12.9,29.8,21.4,14.1,27.8,61.8,956.0,6.8,37.07531331602105,6.7629563129005605,5.607791783077266,5.838025430471128,4.353199912868529
2021-02-27,24.5,88.9,13.2,31.7,22.4,11.9,27.7,56.7,957.0,7.3,36.86461599747188,7.204769156678027,5.988497894127513,5.974729240642482,4.609646641126703
2021-02-28,15.6,78.4,14.1,33.1,23.6,11.6,27.4,47.0,955.0,8.0,36.65157859906388,7.8193731503656565,6.221125971187015,6.3286978493749535,4.942409713717042
2021-03-01,32.8,79.2,14.2,27.1,20.6,12.1,18.3,56.0,955.0,5.5,36.43625694758412,5.3718160189601365,4.713058665585786,3.750256794694775,4.075598369829964
2021-03-02,38.6,84.6,14.5,28.5,21.5,12.9,25.0,61.6,957.0,6.1,36.218708592080816,6.027426400140472,4.999297777869068,5.1750447945320905,4.288323504252551
2021-03-03,28.6,84.7,14.9,30.5,22.7,13.2,25.9,56.6,959.0,7.0,35.99899279471923,6.883292328220658,5.411648896493788,5.663879867410679,4.5973903580120465
2021-03-04,31.0,80.5,15.8,33.0,24.4,12.2,25.9,55.8,956.0,7.3,35.7771705187413,7.1284765535649575,5.894098981279447,5.794923621637208,5.085012093842195
2021-03-05,44.4,88.1,14.0,27.0,20.5,17.3,24.9,66.2,957.0,5.9,35.553304413516585,5.838735813892158,4.6041728770624015,5.11554106603689,3.9632822483312125
2021-03-06,39.5,88.6,14.4,28.2,21.3,13.5,24.9,64.0,958.0,5.9,35.32745879667938,5.894416707186188,4.8157561530482385,5.082803740606209,4.143600623260953
2021-03-07,33.4,83.2,14.6,30.9,22.8,12.2,25.6,58.3,959.0,6.6,35.0996996333556,6.54972174741818,5.407382283466497,5.495550624605123,4.52571738000915
2021-03-08,20.3,70.5,16.2,33.2,24.7,13.2,25.6,45.4,957.0,8.2,34.870094512489985,7.865424703196544,5.753434695612647,6.129717238293026,5.0680512154851325
2021-03-09,26.2,70.2,14.1,29.4,21.8,13.4,25.2,48.2,957.0,7.1,34.63871262029299,6.879038079269484,5.037878413757356,5.688204125759261,4.204295860409198
2021-03-10,38.6,87.6,12.5,26.5,19.5,12.6,24.1,63.1,960.0,5.5,34.40562471083385,5.431833643702024,4.498685414358655,4.735338844342536,3.6209208542885416
2021-03-11,37.2,77.5,13.4,27.0,20.2,12.0,17.5,57.4,960.0,5.2,34.170903073814536,5.0470888696925735,4.489369004092916,3.507475092449021,3.7615153702537274
2021-03-12,32.8,73.1,15.9,28.8,22.4,12.8,23.4,53.0,958.0,6.4,33.93462149956686,6.221483879797569,4.603203632152112,5.149651669362603,4.29150847402396
2021-03-13,35.2,77.9,13.9,27.3,20.6,13.1,23.9,56.6,959.0,6.0,33.69685524132241,5.857470628996132,4.442383075214871,5.013268980640168,3.813046400506687
2021-03-14,34.5,91.6,11.7,26.8,19.2,15.1,23.7,63.0,958.0,5.9,33.45768097481245,5.759690198932216,4.505511235887451,4.7419914910916905,3.4736059929085132
2021-03-15,62.0,93.7,12.7,18.3,15.5,13.6,8.3,77.8,961.0,2.3,33.217176755262265,2.3328095015371124,2.4429625384787297,1.159444608749021,2.7406183490378786
2021-03-16,44.6,79.5,13.3,22.5,17.9,10.5,14.1,62.0,961.0,3.8,32.97542197185116,3.7298924486893377,3.340166042766452,2.523899696343238,3.165782658519788
2021-03-17,40.4,82.3,13.5,24.5,19.0,12.4,17.4,61.4,959.0,4.6,32.73249729971636,4.516650295246747,3.7410873037064345,3.334837114410473,3.371454851057777
2021-03-18,53.1,95.9,11.8,19.5,15.6,11.4,11.1,74.5,959.0,2.7,32.488484649585494,2.7414702697728854,2.8104685942136096,1.6682696086412494,2.7101842065286026
2021-03-19,51.7,81.8,11.8,18.8,15.3,14.3,17.7,66.8,960.0,3.6,32.243467115128574,3.6305702688445542,2.634822632417347,3.076911593202196,2.644330601715987
2021-03-20,29.4,83.0,8.0,25.1,16.6,10.5,23.5,56.2,962.0,5.1,31.997528918126434,5.077627152045187,4.252523293932212,4.441491623290495,2.8513692131737836
2021-03-21,34.8,73.4,10.9,24.1,17.5,11.8,21.1,54.1,961.0,4.9,31.750755351558368,4.912830759030246,3.8077157237668504,4.137551001422036,2.9986481614580818
2021-03-22,25.2,79.5,10.7,27.4,19.0,10.2,23.4,52.4,961.0,5.7,31.503232720716877,5.520601180916327,4.436451283530873,4.7337897946239424,3.2739777521259965
2021-03-23,31.9,75.8,10.7,27.1,18.9,10.5,22.6,53.8,959.0,5.4,31.255048282462905,5.287385391315581,4.349516257563581,4.534114373900644,3.234364827833079
2021-03-24,38.3,85.2,10.7,24.8,17.8,13.5,21.7,61.8,960.0,5.0,31.006290182738933,4.925814094003698,3.8768877381574125,4.1636676146495795,3.001593043013636
2021-03-25,32.6,99.0,9.9,21.4,15.6,14.5,20.2,65.8,962.0,4.4,30.757047392462624,4.369606442710586,3.251602740211952,3.6078988011221926,2.6004602074792453
2021-03-26,16.3,90.0,6.5,25.0,15.8,9.1,22.8,53.2,961.0,5.0,30.507409641926817,4.9747039414513825,4.115960114363855,4.2404911037643505,2.6174991708693547
2021-03-27,11.1,69.4,7.1,29.6,18.4,8.6,23.2,40.2,957.0,6.0,30.257467353835857,5.861700621300443,4.862465505122384,4.850588271887967,3.060985411050088
2021-03-28,22.4,62.8,9.7,27.4,18.5,9.9,22.3,42.6,956.0,5.7,30.00731157511122,5.509664908171907,4.289297817084634,4.672371544736718,3.06176662499898
2021-03-29,47.3,100.0,9.1,21.7,15.4,14.7,20.4,73.6,958.0,3.8,29.757033907602434,3.8614024998539254,3.272557106667746,3.436298298905488,2.5073738299894353
2021-03-30,42.7,93.4,9.2,23.4,16.3,12.5,20.8,68.1,958.0,4.2,29.5067264378414,4.206210775173571,3.5413463973297192,3.656695678927573,2.6365453274389026
2021-03-31,41.3,94.8,8.6,24.3,16.4,11.3,20.9,68.0,956.0,4.2,29.256481665980825,4.232072447716531,3.703296619565449,3.646453533678244,2.6371368242735875
2021-04-01,50.1,100.0,10.4,21.7,16.0,12.1,16.3,75.0,958.0,3.3,29.006392434058565,3.304090137083178,3.0773264452099527,2.6233379309307603,2.5565532697573596
2021-04-02,38.7,99.9,6.6,24.1,15.4,8.8,17.8,69.3,958.0,3.7,28.756551853731327,3.6953060334262906,3.7270751968606173,2.8863930600815846,2.447627347382524
2021-04-03,25.4,89.8,8.5,29.6,19.0,8.7,20.9,57.6,956.0,5.2,28.507053233621747,5.05596075019436,4.512486485926169,4.018947960908204,3.0467406881557286
2021-04-04,56.5,87.2,10.8,18.9,14.8,13.2,13.1,71.8,958.0,2.9,28.25799000642363,2.8652294329759305,2.445265761481308,2.0677453387570366,2.329190867190228
2021-04-05,43.1,89.3,11.5,23.8,17.6,9.6,15.4,66.2,959.0,3.6,28.00945565590975,3.5568787775042354,3.252003170023162,2.6641521161669934,2.757890194160516
2021-04-06,40.8,93.6,8.8,25.0,16.9,9.5,19.4,67.2,960.0,4.0,27.761543643986805,3.9553288919508605,3.623508857802864,3.354119930714546,2.623891955248911
2021-04-07,40.2,84.9,9.7,25.0,17.4,9.3,19.4,62.6,960.0,4.1,27.514347337940727,4.022988674249994,3.5420500538878246,3.493051494164752,2.690831861415734
2021-04-08,43.1,75.3,13.4,22.3,17.8,13.3,19.1,59.2,962.0,4.3,27.267959938015036,4.243370284434409,2.7087661428649943,3.679853767516322,2.7422872568000507
2021-04-09,36.8,78.0,8.6,22.2,15.4,10.1,19.2,57.4,961.0,3.9,27.022474405463075,3.9077392261799764,3.0874994559701694,3.440808315729927,2.3460565861867178
2021-04-10,29.4,83.2,9.9,20.7,15.3,11.9,19.4,56.3,964.0,4.1,26.777983391213038,4.0908912643339,2.718005779418606,3.553291773273394,2.3173686737472754
2021-04-11,16.6,79.8,6.5,28.3,17.4,7.2,20.2,48.2,959.0,4.8,26.534579165282718,4.589506655205667,4.077464740056733,3.8874819717287794,2.626450136405388
2021-04-12,13.5,66.3,7.2,29.3,18.2,7.4,19.9,39.9,959.0,5.0,26.292353547078083,4.867100995804334,4.163598020290034,4.053540637353974,2.744474973046232
2021-04-13,15.1,67.2,8.3,30.9,19.6,8.6,19.4,41.2,957.0,5.7,26.051397836706833,5.36744452807762,4.339922252487299,4.084190697105065,2.9774096271024426
2021-04-14,32.2,85.0,9.3,26.4,17.8,9.9,18.2,58.6,958.0,4.4,25.811802747435102,4.315327193395148,3.5541868417982396,3.3949589456072617,2.6446172200332905
