date,tmean,tmin,tmax,hum,radsol,tmean_percent ,tmin_percent ,tmax_percent ,hum_percent ,radsol_percent  
01-07-2021,8.3,1.4,15.2,66.4,10.3,100,100,100,100,100
02-07-2021,8.8,1.7,15.9,65,11.1,100,100,100,100,100
03-07-2021,9.5,1.1,17.8,60.9,9.3,100,100,100,100,100
04-07-2021,9.6,-0.5,19.7,63.4,11.4,100,100,100,100,100
05-07-2021,10.6,0.6,20.6,60,12,100,100,100,100,100
06-07-2021,8.2,4.2,12.3,74.7,6.7,100,100,100,100,100
07-07-2021,9.2,0.9,17.6,62.1,11.5,100,100,100,100,100
08-07-2021,10.7,1.4,20,57.4,12.1,100,100,100,100,100
09-07-2021,7.2,1,13.3,79.2,7.7,100,100,100,100,100
10-07-2021,8.7,-0.6,18,67.4,11.4,100,100,100,100,100
11-07-2021,10.5,0.8,20.2,56.4,10.4,100,100,100,100,100
12-07-2021,6.4,3.4,9.5,84.1,2.9,100,100,100,100,100
13-07-2021,5.4,-2.1,12.8,77.8,11,100,100,100,100,100
14-07-2021,5.6,-2.6,13.8,75.1,10.9,100,100,100,100,100
15-07-2021,7.4,-2.6,17.3,64.8,12,100,100,100,100,100
16-07-2021,7.4,0.1,14.6,60.1,12.1,100,100,100,100,100
17-07-2021,7.9,-2.1,17.9,59.6,12.7,100,100,100,100,100
18-07-2021,10.6,-2.5,23.6,45.9,13.6,100,100,100,100,100
19-07-2021,11.2,-0.2,22.6,39.5,13.2,100,100,100,100,100
20-07-2021,13.6,0.9,26.3,35.2,13.1,100,100,100,100,100
21-07-2021,13.6,2.9,24.4,46.6,12.2,100,100,100,100,100
22-07-2021,13.1,1.6,24.6,52,12.5,100,100,100,100,100
23-07-2021,10.8,1.5,20,61.8,12.4,100,100,100,100,100
24-07-2021,7.4,4,10.7,79.5,2.5,100,100,100,100,100
25-07-2021,10,4.2,15.8,67.4,12,100,100,100,100,100
26-07-2021,10.1,5.7,14.5,72.2,10.9,100,100,100,100,100
27-07-2021,7.2,-2,16.5,67.8,13.3,100,100,100,100,100
28-07-2021,10.4,-1.3,22,50.6,14.3,100,100,100,100,100
29-07-2021,10.8,-1.2,22.7,37.6,14.6,100,100,100,100,100
30-07-2021,10.6,-1.2,22.3,51.5,14.1,100,100,100,100,100
31-07-2021,10.9,-0.4,22.1,58,14,100,100,100,100,100
01-08-2021,13.8,1.2,26.3,37.9,14.7,100,100,100,100,100
02-08-2021,14.2,1.6,26.9,34.4,14.8,100,100,100,100,100
03-08-2021,12.5,1.8,23.2,49.4,14.6,100,100,100,100,100
04-08-2021,10.9,2.1,19.6,61.6,14.6,100,100,100,100,100
05-08-2021,10,4.7,15.4,76,10.3,100,100,100,100,100
06-08-2021,10.5,2.9,18.2,69.8,13.5,100,100,100,100,100
07-08-2021,8.3,6.9,9.7,85.2,1.8,100,100,100,100,100
08-08-2021,9.8,6.8,12.9,70.6,7.2,100,100,100,100,100
09-08-2021,8.8,2.2,15.3,71.7,13.9,100,100,100,100,100
10-08-2021,9.8,0.6,19,59.4,15.1,100,100,100,100,100
11-08-2021,9.8,-0.1,19.6,55.9,15.3,100,100,100,100,100
12-08-2021,6.5,2.1,10.9,81.2,11,100,100,100,100,100
13-08-2021,8.1,0,16.2,68.6,12.1,100,100,100,100,100
14-08-2021,8.9,-1.3,19.1,58.9,13.8,100,100,100,100,100
15-08-2021,9,5.9,12,75.8,4.3,100,100,100,100,100
16-08-2021,12,7,17.1,63.1,9.3,100,100,100,100,100
17-08-2021,14.2,8.6,19.8,65.8,9.5,100,100,100,100,100
18-08-2021,12.4,9.7,15,85.4,3.5,100,100,100,100,100
19-08-2021,11.3,8.2,14.4,74.8,11.4,100,100,100,100,100
20-08-2021,9,5.1,13,76.8,6.7,100,100,100,100,100
21-08-2021,12,6.4,17.6,72.3,9.6,100,100,100,100,100
22-08-2021,12.4,8.5,16.4,65.8,15.3,100,100,100,100,100
23-08-2021,10.4,7.4,13.5,68.4,8.7,100,100,100,100,100
24-08-2021,9.2,3,15.5,69,15.5,100,100,100,100,100
25-08-2021,10.2,6.6,13.9,67.2,14.1,100,100,100,100,100
26-08-2021,9.7,3.1,16.3,66.8,18.2,100,100,100,100,100
27-08-2021,9.9,5.4,14.3,68,6.6,100,100,100,100,100
28-08-2021,15.5,8.5,22.5,57.6,11.4,100,100,100,100,100
