,temp,clouds,pressure,wind,humidity
1455199200,22.37,0,1013,1.75,57
1455206400,25.0,0,1012,2.71,50
1455213600,28.17,1,1011,4.0,35
1455220800,29.35,13,1011,3.85,40
1455228000,25.69,87,1010,3.63,53
1455271200,16.96,94,1012,0.34,76
1455278400,14.77,20,1015,1.0,81
1455285600,21.79,91,1014,1.83,60
1455292800,24.34,98,1013,2.68,53
1455300000,25.77,40,1012,3.0,45
1455307200,27.37,99,1012,3.42,44
1455314400,24.26,99,1012,3.16,53
1455357600,17.46,0,1014,0.56,66
1455364800,15.47,1,1016,0.0,76
1455372000,23.76,0,1014,1.63,48
1455379200,26.74,0,1014,2.43,41
1455386400,30.17,1,1011,3.0,30
1455393600,30.85,0,1012,3.15,27
1455400800,26.73,0,1012,3.39,41
1455444000,19.3,0,1012,0.82,57
1455451200,16.97,1,1013,0.0,69
1455458400,24.29,0,1012,1.43,45
1455465600,27.0,0,1011,2.33,36
1455472800,30.77,1,1009,2.0,26
1455480000,32.33,0,1009,3.2,27
1455487200,27.97,0,1008,3.28,38
1455530400,19.06,0,1007,0.78,53
1455537600,17.37,1,1008,0.0,59
1455544800,26.25,0,1007,1.37,39
1455552000,30.0,0,1006,2.46,34
1455559200,33.47,1,1004,4.0,18
1455566400,32.24,0,1005,3.44,30
1455573600,27.54,0,1005,3.47,42
1455616800,17.08,2,1007,0.52,72
1455624000,13.17,1,1011,2.0,79
1455631200,21.5,0,1010,2.17,59
1455638400,23.17,0,1010,2.89,55
1455645600,23.97,1,1009,4.0,46
1455652800,25.66,1,1009,3.2,47
1455660000,23.06,2,1008,2.62,56
1455703200,15.21,0,1011,0.35,78
1455710400,14.17,1,1012,0.0,80
1455717600,23.12,0,1010,1.71,49
1455724800,25.9,0,1011,2.74,44
1455732000,29.57,1,1008,3.0,27
1455739200,28.89,0,1010,3.72,38
1455746400,24.28,0,1010,3.56,51
1455789600,16.52,74,1014,0.45,68
1455796800,15.57,40,1016,0.0,71
1455804000,21.98,0,1015,1.35,53
1455811200,24.97,0,1015,2.8,46
1455818400,28.37,1,1013,4.0,33
1455825600,28.42,0,1014,3.45,39
1455832800,25.1,24,1013,2.91,49
1455876000,17.39,0,1015,1.47,64
1455883200,18.17,1,1016,0.0,59
1455890400,25.11,0,1014,1.63,43
1455897600,27.62,0,1013,2.84,36
1455904800,31.17,1,1011,3.0,25
1455912000,31.93,0,1011,2.92,28
1455919200,28.72,0,1010,3.33,38
1455962400,18.71,0,1008,1.01,53
1455969600,15.87,1,1009,0.0,68
1455976800,25.92,3,1006,1.53,37
1455984000,29.13,0,1005,2.49,31
1455991200,33.67,1,1004,2.0,19
1455998400,32.32,0,1005,3.56,25
1456005600,28.51,0,1005,3.57,35
1456048800,18.48,0,1007,0.45,58
1456056000,16.67,1,1009,0.0,63
1456063200,25.13,0,1008,2.18,45
1456070400,27.98,0,1009,2.94,44
1456077600,30.77,1,1006,3.0,24
1456084800,31.88,0,1007,3.32,38
1456092000,26.26,0,1006,3.61,53
1456135200,18.14,1,1010,1.32,72
1456142400,16.87,4,1011,1.0,72
1456149600,25.64,4,1010,2.09,50
1456156800,28.1,1,1010,2.93,47
1456164000,32.77,2,1007,3.0,27
1456171200,31.35,0,1008,3.41,38
1456178400,28.24,9,1008,3.32,47
1456221600,19.46,0,1010,1.29,62
1456228800,17.47,1,1012,0.0,73
1456236000,26.05,0,1011,1.52,48
1456243200,28.36,0,1011,2.83,45
1456250400,32.07,1,1008,3.1,24
1456257600,30.91,0,1010,3.75,39
1456264800,26.73,0,1010,3.31,50
1456308000,19.85,0,1014,0.96,59
1456315200,17.37,20,1016,0.0,71
