date,tmin,tmax,temp,rh,rhmin,rhmax,wind,cod_wc,ra,et0_pmfao56_raxwc
2021-02-28,13.19,32.78,20.61958333333333,51.85510416666667,17.75,80.83,2.156875,1.0,36.65157859906388,7.742053451436707
2021-03-01,12.09,30.68,19.18625,57.37833333333333,22.2,86.2,2.1964583333333336,0.9782291666666667,36.43625694758412,7.014616820777578
2021-03-02,11.64,29.74,18.826875,64.94645833333333,27.66,95.26,2.2357291666666668,0.7119791666666667,36.218708592080816,5.017502573463471
2021-03-03,13.12,31.54,20.169791666666665,62.6209375,26.8,90.17,1.9401041666666667,0.5998958333333334,35.99899279471923,4.736272523781356
2021-03-04,14.24,33.33,21.78458333333333,56.10270833333333,21.19,88.22,1.9373958333333328,0.9476041666666667,35.7771705187413,7.123308749952873
2021-03-05,12.62,28.78,18.20020833333333,71.2771875,31.2,94.44,2.5136458333333334,0.8575,35.553304413516585,5.436938806578335
2021-03-06,13.08,29.75,19.143541666666668,69.9328125,33.01,95.5,2.020833333333333,0.8403125,35.32745879667938,5.413407631206281
2021-03-07,12.84,32.55,20.82229166666667,55.841145833333336,22.36,88.2,1.8736458333333328,1.0,35.0996996333556,7.147626517339231
2021-03-08,15.21,34.41,23.02083333333333,42.3815625,15.5,70.1,1.9521875,0.9980208333333334,34.870094512489985,7.9284080039411915
2021-03-09,12.17,31.17,19.57708333333333,49.19135416666666,21.8,86.68,2.2897916666666664,0.9819791666666666,34.63871262029299,7.157811046975087
2021-03-10,11.16,28.66,17.864791666666665,61.30427083333333,20.2,90.74,1.989479166666667,0.24114583333333328,34.40562471083385,3.013494943755882
2021-03-11,12.21,29.16,18.536666666666665,63.309583333333336,25.3,92.8,1.8376041666666667,0.55,34.170903073814536,4.029245347331373
2021-03-12,11.11,29.71,18.52208333333333,53.85833333333333,22.22,77.76,1.7679166666666666,0.9680208333333333,33.93462149956686,6.285089226567333
2021-03-13,10.45,28.27,17.207291666666666,62.85458333333333,28.7,91.36,1.9859375,0.9647916666666667,33.69685524132241,5.816605789096844
2021-03-14,9.78,27.17,16.114166666666666,70.84010416666666,31.0,95.56,1.9884375,0.7080208333333333,33.45768097481245,4.04059557347256
2021-03-15,10.48,26.04,15.586770833333333,76.72302083333334,36.9,96.5,2.2390625,0.6177083333333334,33.217176755262265,3.4705564048424393
2021-03-16,10.6,24.27,15.824166666666663,72.8015625,37.73,90.27,2.0485416666666665,0.16322916666666676,32.97542197185116,1.8735067729373913
2021-03-17,8.36,26.77,15.476041666666667,69.67812500000001,30.1,95.89,1.7454166666666666,0.8070833333333334,32.73249729971636,4.272515427860871
2021-03-18,8.95,23.06,13.741354166666667,75.96010416666667,34.67,97.0,2.110625,0.6190625000000001,32.488484649585494,3.1467598458304273
2021-03-19,8.27,25.65,14.616875,68.67291666666667,29.9,92.1,1.8284375,0.5817708333333333,32.243467115128574,3.3569308325132416
2021-03-20,7.29,24.82,13.935,72.51510416666666,27.75,95.85,1.8280208333333328,0.6914583333333333,31.997528918126434,3.4462114533099273
2021-03-21,8.49,31.0,16.73875,52.9590625,13.2,93.68,1.7957291666666666,0.8559375,31.750755351558368,5.351893832619933
2021-03-22,8.85,31.62,18.445208333333333,50.03208333333333,15.5,89.4,1.7151041666666669,0.9883333333333333,31.503232720716877,6.191663987235542
2021-03-23,10.22,28.31,17.3190625,57.250729166666666,23.6,87.19,1.7729166666666665,1.0,31.255048282462905,5.69981052091922
